sample_index,layout,rig_id,semantic_id,priority,object_id,semantic_zone,object_region_recall,object_region_precision,object_region_f2,object_presence_success,object_target_surface_voxels,object_prediction_voxels,object_visible_surface_recall,object_visible_1plus,object_visible_2plus,object_visible_3plus,object_mean_view_diversity_deg
27,N2_mirrored_support,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.015053763440860216,1.0,0.018746652383502947,0,930,1,0.9978494623655914,0.9978494623655914,0.9505376344086022,0.1817204301075269,100.06851845750059
27,N2_mirrored_support,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,334,0,1.0,1.0,0.9910179640718563,0.9041916167664671,104.34163667918709
36,C1_standard_cath,3Cam,patient,P1,Prop_00_patient,table_patient,0.5423956931359354,0.6537753222836096,0.561528516220801,1,743,543,0.7429340511440108,0.7429340511440108,0.2759084791386272,0.02826379542395693,114.09080388118399
36,C1_standard_cath,3Cam,doctor_operator,P1,Prop_01_doctor_operator,operator_lane,0.0,1.0,0.0,0,1366,0,0.9846266471449487,0.9846266471449487,0.41947291361639827,0.004392386530014641,93.21523502906689
36,C1_standard_cath,3Cam,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.009503695881731784,1.0,0.011851461680273902,0,947,1,1.0,1.0,0.996832101372756,0.805702217529039,82.87297475277606
36,C1_standard_cath,3Cam,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.023923444976076555,0.6666666666666666,0.02963841138114997,0,836,3,1.0,1.0,0.13516746411483255,0.0,131.63101477377094
36,C1_standard_cath,3Cam,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.008579599618684462,1.0,0.010701545778834719,0,1049,1,0.9771210676835081,0.9771210676835081,0.544327931363203,0.0,75.86013824407127
36,C1_standard_cath,3Cam,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.0,1.0,0.0,0,1052,0,0.9914448669201521,0.9914448669201521,0.5256653992395437,0.0,96.18898467218149
36,C1_standard_cath,3Cam,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.0,1.0,0.0,0,1648,0,0.9969660194174758,0.9969660194174758,0.6577669902912622,0.0,94.42189062737066
36,C1_standard_cath,3Cam,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,266,0,0.08270676691729323,0.08270676691729323,0.0,0.0,0.0
36,C1_standard_cath,3Cam,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,991,0,0.9969727547931383,0.9969727547931383,0.82744702320888,0.0,131.35321413396457
36,C1_standard_cath,3Cam,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.0,1.0,0.0,0,1021,0,0.9774730656219393,0.9774730656219393,0.0068560235063663075,0.0,120.59663922894129
36,C1_standard_cath,3Cam,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,331,0,1.0,1.0,0.9667673716012085,0.40483383685800606,114.72873351375766
