sample_index,layout,rig_id,camera_index,camera_name,camera_role,mount_wall,valid_depth_fraction,far_no_hit_fraction,raw_mb,width,height
21,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.96810546875,0.03189453124999997,1.2288,640,480
21,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9676139322916667,0.0323860677083333,1.2288,640,480
21,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9673958333333333,0.032604166666666656,1.2288,640,480
25,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.963046875,0.03695312500000003,1.2288,640,480
25,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9671875,0.03281250000000002,1.2288,640,480
25,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.967958984375,0.03204101562499995,1.2288,640,480
25,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9714583333333333,0.028541666666666687,1.2288,640,480
29,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.96755859375,0.03244140625000003,1.2288,640,480
29,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9668359375,0.033164062500000036,1.2288,640,480
29,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9691796875,0.030820312499999947,1.2288,640,480
29,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9707649739583334,0.029235026041666612,1.2288,640,480
33,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.96669921875,0.03330078125000002,1.2288,640,480
33,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.970810546875,0.029189453124999987,1.2288,640,480
33,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9707942708333334,0.02920572916666664,1.2288,640,480
33,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.968427734375,0.03157226562500004,1.2288,640,480
37,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9632291666666667,0.03677083333333331,1.2288,640,480
